iso3,ecoregion,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
KEN,Northern Monsoon Current Coast,34395.461965410155,5419.682342529297,36872.65273782835,29684.42909248698,3419.1811988966733,31764.01406122908,0.17210878840141292,NA,1.6674667098429932,0.10215384145027184,7855.490484575394,-9855.991628208018,5854.98934094277,5854.98934094277,Sellers
HND,Southwestern Caribbean,38437.67188790833,131731.5813293457,44211.50741905278,60561.66860555018,3819798.8128491435,70022.15290528807,325.2000313756382,NA,54.311325991339366,0.4039157054928235,1201583.5979631688,2486483.633556629,4889650.829482967,2486483.633556629,Buyers
AUS,Leeuwin,302268.2229856353,58948.55226125281,350945.2632426933,302268.2229856353,58948.55226125281,350945.2632426933,0.4233970216077222,NA,0.4233970216077222,0.700642990114813,0,0,0,0,Doesn't participate
AUS,Shark Bay,119430.62891561915,372148.96911520336,131867.9251096733,119430.62891561915,372148.96911520336,131867.9251096733,34.99754952075369,NA,34.99754952075369,0.5671361632410814,0,0,0,0,Doesn't participate
NIC,Southwestern Caribbean,64063.01616669766,481013.7381591797,74813.38936495758,92154.01370355855,7066415.0698333895,106262.71077272332,592.4955484421174,NA,54.311325991339366,0.4039157054928235,1525659.3246463633,5059742.007027847,8111060.656320573,5059742.007027847,Buyers
ZAF,Delagoa,62953.246444600474,78492.21661376953,67916.3663962538,48446.627608923955,16993.95620494593,52081.85558894573,2.996054732623197,NA,8.975218685200955,0.14777649164829587,130200.07643305203,-191698.33684187563,68701.81602422844,68701.81602422844,Sellers
IDN,Northeast Sulawesi,43646.02965637616,70459542.62726346,53594.152706381356,43646.02965637616,70459542.62726346,53594.152706381356,2946.8284068077633,NA,2946.8284068077633,0.41676127210508795,0,0,0,0,Doesn't participate
AUS,South Australian Gulfs,104616.25000530976,3817955.2305913856,121579.73149781405,104616.25000530976,3817955.2305913856,121579.73149781405,275.8768427939639,NA,275.8768427939639,0.6244069520931601,0,0,0,0,Doesn't participate
IDN,Southern Java,383541.4823358106,6610301.501696512,433040.7353604462,383541.4823358106,6610301.501696512,433040.7353604462,42.11003535102008,NA,42.11003535102008,0.4899626539549923,0,0,0,0,Doesn't participate
KEN,East African Coral Coast,36778.72908659821,30613.572784423828,39909.644094338146,41983.82351135997,546457.6262544587,45580.52284675047,182.7871306903741,NA,8.76193573261436,0.4982708167937262,45606.70283195191,470237.35063808295,561450.7563019868,470237.35063808295,Buyers
