iso3,ecoregion,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
MMR,Andaman and Nicobar Islands,40236.565970071206,192517.06201171875,50737.15645276369,35699.77914184722,124695.96433144773,47760.65087617886,14.862138187785304,NA,15.09183437416741,68468.4354024607,-136289.5330827317,647.3377221896808,647.3377221896808,Sellers
NCL,Coral Sea,0,0,NA,7013.570746366237,7519.007217839228,8625.732647390465,1.1849447379116274,NA,0.1495414426236082,1048.8194873543434,6470.187730484885,8567.826705193573,6470.187730484885,Buyers
USA,Hawaii,955024.3037860785,2579328.885655871,995882.6607005448,955024.3037860785,2583669.1399847544,1064116.025884566,3.6014519550336175,NA,3.4646395895316573,0,4340.254328883253,4340.254328883253,4340.254328883253,Buyers
USA,Gulf of Alaska,352159.4919399996,704993.1846039098,415511.06252260145,352159.4919399996,704993.1846039098,415511.06252260145,7.7005675215253175,NA,7.7005675215253175,0,0,0,0,Doesn't participate
BRA,Eastern Brazil,192015.42358805367,764056.2448607399,249378.26263319218,192015.42358805367,764056.2448607399,249378.26263319218,11.409032375498088,NA,11.409032375498088,0,0,0,0,Doesn't participate
BRA,Fernando de Naronha and Atoll das Rocas,147888.973119682,376868.214671164,165771.5086849564,147888.973119682,376868.214671164,165771.5086849564,3.7200888407095336,NA,3.7200888407095336,0,0,0,0,Doesn't participate
USA,Northern Gulf of Mexico,243095.16262207858,1774899.3863538408,262800.8912004241,243095.16262207858,1828065.2251502646,270951.75388470123,44.46413275792777,NA,33.06650467114284,0,53165.83879642375,53165.83879642375,53165.83879642375,Buyers
ATF,Amsterdam-St Paul,180901.3229134376,380667.9800536068,210147.75312762373,180901.3229134376,380667.9800536068,210147.75312762373,3.0885821640685407,NA,3.0885821640685407,0,0,0,0,Doesn't participate
BRA,Amazonia,235254.63223636273,12258168.140986292,264304.1287137081,235254.63223636273,12258168.140986292,264304.1287137081,219.07466009205294,NA,219.07466009205294,0,0,0,0,Doesn't participate
UMI,Marshall Islands,177705.72590272225,387498.4938003883,269606.2045072317,177705.72590272225,417272.92945116246,202912.93851350926,3.164584213492519,NA,4.017827174475881,0,29774.43565077416,29774.43565077416,29774.43565077416,Buyers
USA,"Oregon, Washington, Vancouver Coast and Shelf",113542.51209515345,217414.1444091797,137847.77798723703,105147.43693628946,189481.68762259054,129228.72567354952,2.481652038577439,NA,4.077423843271847,34230.27961881119,-62162.736405400334,6297.822832222038,6297.822832222038,Sellers
UMI,Hawaii,253479.95129722316,623515.87451171875,285869.1492654099,192102.40626323246,430798.84973793966,217992.12260337593,2.8851636971150443,NA,3.4646395895316573,212651.07243302633,-405368.0972068054,19934.04765924724,19934.04765924724,Sellers
UMI,Line Islands,281736.1736875992,747218.4494628906,310266.51354428096,216200.29646999025,510782.05621588684,239624.20549909637,3.25970213058659,NA,3.9650583371716577,259853.57634553843,-496289.9695925422,23417.183098534646,23417.183098534646,Sellers
SPM,Gulf of St. Lawrence - Eastern Scotian Shelf,5523.621016016616,418408.8845214844,6623.385241370461,2927.5191384888058,9457.544841039362,4434.322725867193,6.4578166266965145,NA,526.0598642163695,1365705.0011841417,-1774656.3408645866,956753.6615036967,956753.6615036967,Sellers
PAN,Nicoya,2601.49738691155,3042.911376953125,3061.8883596615547,29325.97567912317,55575.26286808251,36712.22833616037,2.670640373657975,NA,1.19217462186827,31860.24480264418,20672.1066884852,84392.59629377356,20672.1066884852,Buyers
NGA,Gulf of Guinea Central,88708.29383057806,597268.2814941406,98264.81838624555,82899.1014450275,407961.5525546418,92130.57746283586,24.735138089482117,NA,41.54598475391732,241348.6182826561,-430655.34722215496,52041.889343157236,52041.889343157236,Sellers
PYF,Society Islands,216650.7663582381,389426.7991034106,252169.13888417976,216650.7663582381,389426.7991034106,252169.13888417976,2.1460042457484447,NA,2.1460042457484447,0,0,0,0,Doesn't participate
CHL,Central Chile,138259.0599715004,556396.0516807232,158961.96300955265,138259.0599715004,556396.0516807232,158961.96300955265,6.138531886043677,NA,6.138531886043677,0,0,0,0,Doesn't participate
IND,Eastern India,184877.62498672312,1634126.705465524,210970.70801896392,184877.62498672312,1634578.0005979352,219781.38734082071,12.12214102534334,NA,11.964099354610203,0,451.2951324111782,451.2951324111782,451.2951324111782,Buyers
PYF,Marquesas,353284.12135456986,587421.2613169338,391120.82739441516,353284.12135456986,587421.2613169338,391120.82739441516,1.9394412768038407,NA,1.9394412768038407,0,0,0,0,Doesn't participate
CHL,Juan Fernandez and Desventuradas,186515.91530826857,598643.9125208595,210688.35142289792,186515.91530826857,598643.9125208595,210688.35142289792,4.2341707263829935,NA,4.2341707263829935,0,0,0,0,Doesn't participate
PRI,Bahamian,21628.831842633666,43054.3212890625,26047.72358671707,19147.455462813945,36586.611171049786,23159.49939157624,2.6018942239962026,NA,2.9422616741343046,7300.858621445694,-13768.568739458407,833.1485034329817,833.1485034329817,Sellers
CHL,Humboldtian,113765.72631113291,385245.0049944483,56926.42411160739,113765.72631113291,431998.833930458,127994.51481784892,6.140776439032915,NA,3.9343180714211536,0,46753.828936009726,46753.828936009726,46753.828936009726,Buyers
PRI,Greater Antilles,2622.146216499842,3270.762451171875,2939.717670823638,53724.93890779849,148523.08314015498,62015.71966586173,4.203143338405326,NA,1.285462123580724,65690.70441386226,79561.61627512085,210943.02510284536,79561.61627512085,Buyers
BRA,Rio Grande,118148.41313121097,3350981.067452198,137949.68541970974,118148.41313121097,3350981.067452198,137949.68541970974,202.11237549244495,NA,202.11237549244495,0,0,0,0,Doesn't participate
BRA,Trindade and Martin Vaz Islands,143372.89240077688,436250.0454978299,201350.4167372483,143372.89240077688,436250.0454978299,201350.4167372483,4.441577324206658,NA,4.441577324206658,0,0,0,0,Doesn't participate
USA,North American Pacific Fijordland,50294.0403316098,181532.9327392578,61058.70956570814,59482.655102402605,918477.410443121,73340.34001081095,473.10938890465565,NA,41.9178441786933,385166.92218013236,351777.5555237308,1122111.3998839955,351777.5555237308,Buyers
USA,Eastern Bering Sea,352306.88114248496,451409674.70057946,466070.31583397835,352306.8811424849,454207575.15253043,408880.79060792987,1930.9654116151867,NA,2063.3423186383543,1.2010233003170895e-7,2797900.451950847,2797900.4519510865,2797900.4519510865,Buyers
REU,Mascarene Islands,0,0,NA,142055.44926510472,264738.48280801077,160035.84633503397,2.1928259358984064,NA,0.9607104721084755,136474.15772906033,128264.32507895044,401212.6405370711,128264.32507895044,Buyers
MOZ,Delagoa,110032.0098471101,345258.51190632547,106050.08632073438,110032.00984711008,352051.36483049387,119992.74724558808,5.585843083159813,NA,4.546552570844961,6.616104759224924e-11,6792.8529241683345,6792.852924168459,6792.852924168459,Buyers
GUM,Mariana Islands,68064.78956085446,141730.9443359375,83930.94511381365,87449.65345964425,196389.50190547568,107889.68082270124,2.9553358164226773,NA,2.684384690668532,52036.43188060441,2622.1256889337747,106694.9894501426,2622.1256889337747,Buyers
PAN,Panama Bight,24787.16053082631,48117.261474609375,30583.569121364213,47633.2509167721,136515.80425511146,61198.50597458378,11.09873889258458,NA,2.6180630039126154,59812.504023488356,28586.038757013732,148211.04680399044,28586.038757013732,Buyers
VEN,Eastern Caribbean,21502.61381495009,37065.741943359375,23810.691345652835,42559.444944908966,82673.17260983982,47611.30962120104,2.2932386887642036,NA,2.0362748484783793,42877.49561859183,2729.935047888619,88484.92628507227,2729.935047888619,Buyers
TUV,Gilbert/Ellis Islands,419192.6385219505,1628201.689453125,542761.3111325812,277662.8663696921,923949.5126667804,359886.6404758859,4.464963639626839,NA,6.646445415891724,940669.9053335782,-1644922.0821199229,236417.72854723362,236417.72854723362,Sellers
FJI,Samoa Islands,2404.056983990808,3462.292236328125,2962.4634770367984,1274.1502015151284,1835.0148852539064,2962.4634770367984,1.4401872581991022,NA,3.0159896479237025,3407.7871590654286,-5035.064510139648,1780.50980799121,1780.50980799121,Sellers
VEN,Southern Caribbean,154841.89925921685,320215.43960313575,134611.072687792,154841.89925921685,401321.4240731602,170523.17472659063,10.303558436873406,NA,2.58809128785202,0,81105.98447002447,81105.98447002447,81105.98447002447,Buyers
MDV,Maldives,442162.7753323068,1023426.9760742188,537554.9065517318,398771.3464425366,888355.907623107,485398.1127840757,2.6802548045727885,NA,4.439888564440502,192653.10892242385,-327724.17737353564,57582.04047131201,57582.04047131201,Sellers
MTQ,Eastern Caribbean,24093.1486739692,46556.06481966724,11878.163157243027,24093.1486739692,54577.99578634606,29701.52875927129,5.932446683333214,NA,2.0362748484783793,0,8021.930966678818,8021.930966678818,8021.930966678818,Buyers
CAN,Gulf of Maine/Bay of Fundy,35638.69503217228,4224731.1142578125,41468.58575690606,28853.589732094944,1855451.950906869,34679.68610074811,252.89657979614503,NA,500.4067656008003,3395312.597472549,-5764591.760823492,1026033.4341216055,1026033.4341216055,Sellers
USA,Carolinian,166082.15393753655,810780.9555307002,186769.05209765103,166082.15393753655,810780.9555307002,186769.05209765103,13.692864566612322,NA,13.692864566612322,0,0,0,0,Doesn't participate
KIR,Gilbert/Ellis Islands,422064.35033947625,2662314.706594285,172231.40124535735,422064.3503394763,3015405.0712622143,504277.0520713335,9.256022109759831,NA,6.646445415891724,3.868740410480953e-10,353090.36466792884,353090.3646679297,353090.36466792884,Buyers
ASM,Samoa Islands,97849.39954453675,271887.87201408355,53721.78853034894,97849.39954453675,291596.5228797156,131084.6147733259,3.842249708865014,NA,3.0159896479237025,0,19708.65086563205,19708.65086563205,19708.65086563205,Buyers
BES,Southern Caribbean,5484.166147876149,10143.3583984375,5997.755437687124,5890.666960617493,14281.214143596499,9010.959417006241,10.179206573424265,NA,2.58809128785202,1052.0612119606376,3085.794533198361,5189.916957119636,3085.794533198361,Buyers
USA,Southern Gulf of Mexico,20121.99590085136,84877.65478515625,22267.64519158846,14555.95670632957,39925.41507450986,16720.761930399185,4.828968473095912,NA,13.318637448405408,74132.0580554502,-119084.29776609658,29179.818344803803,29179.818344803803,Sellers
GNQ,Gulf of Guinea Islands,123691.06021301156,163111.33490684326,199824.86517348737,123691.06021301154,269006.97695708857,132167.7183302443,2.3527242076607453,NA,4.360646516840414,6.345575845393489e-11,105895.64205024525,105895.64205024537,105895.64205024537,Buyers
COM,East African Coral Coast,17913.237172616973,48816.39771956288,18068.428809809142,17913.237172616973,49189.71667852092,21070.30828692466,3.8327857425352505,NA,3.468702263934608,0,373.3189589580361,373.3189589580361,373.3189589580361,Buyers
CHL,Chiloense,99915.80983657716,585669.2894345515,119774.07785229495,99915.80983657716,585669.2894345515,119774.07785229495,10.066494566625655,NA,10.066494566625655,0,0,0,0,Doesn't participate
ASM,Phoenix/Tokelau/Northern Cook Islands,47634.01126064398,118808.13009741434,24092.113301426067,47634.011260643994,128509.62496846552,63239.82758509956,3.426894131193062,NA,2.571115074089368,3.741464860052464e-11,9701.494871051143,9701.494871051225,9701.494871051143,Buyers
MOZ,East African Coral Coast,27894.096278451732,69449.1494140625,29905.259920902776,59729.68888967289,195877.80106727657,65878.85054089234,4.820506327459678,NA,3.468702263934608,110428.19216424272,16000.459488971348,236856.8438174568,16000.459488971348,Buyers
SYC,Seychelles,550586.4411699525,1936898.204685275,598472.8086298843,550586.4411699526,1936966.6745669025,604543.4360379167,4.453178893338172,NA,4.4256801863552715,5.152169831976378e-10,68.46988162696063,68.4698816279415,68.46988162696063,Buyers
CAN,North American Pacific Fijordland,113074.00535936629,382997.6623614496,150047.0292698577,113074.0053593663,487147.1825027233,138912.25196801842,23.55509262997356,NA,41.9178441786933,6.099849150442358e-10,104149.52014127307,104149.52014127426,104149.52014127307,Buyers
COM,Western and Northern Madagascar,75813.7935453565,252783.697265625,81361.3653083331,53877.514099517095,152572.43344254993,60278.81348316067,3.9877405715788017,NA,6.933920900886951,152104.42653720267,-252315.69036027775,51893.1627141276,51893.1627141276,Sellers
ASM,Tonga Islands,0,0,NA,3729.7475265347175,8147.305334552469,5887.240919194446,2.463768983929498,NA,0.019336200968039566,72.11914773312378,8075.186186819345,8219.424482285593,8075.186186819345,Buyers
USA,Northern California,148978.2247050435,583637.3901386225,173159.54624748207,148978.2247050435,583637.3901386225,173159.54624748207,5.28442461247306,NA,5.28442461247306,0,0,0,0,Doesn't participate
USA,Beaufort Sea - continental coast and shelf,69176.06109708307,273009.3156738281,88022.5261294631,65442.63476101339,248544.8675266619,83266.35696125173,5.38639951996854,NA,8.727108038710158,32582.01498944597,-57046.4631366122,8117.566842279746,8117.566842279746,Sellers
MOZ,Bight of Sofala/Swamp Coast,87450.0622497135,320122.23095703125,93222.05036348542,98413.19836125434,402958.4167069004,107740.51845565773,8.647221230595818,NA,6.411054449787658,70285.26255152164,12550.923198347518,153121.4483013908,12550.923198347518,Buyers
CAN,"Oregon, Washington, Vancouver Coast and Shelf",45964.81503506034,162926.9855101292,47174.17900331925,45964.81503506034,165157.78741125806,57358.26648444068,5.1053897706088325,NA,4.077423843271847,0,2230.8019011288707,2230.8019011288707,2230.8019011288707,Buyers
GIN,Gulf of Guinea West,25335.268253238584,67792.28662109375,27398.6360958532,44657.01229227385,1495247.230644952,48665.18914948816,166.0141556899448,NA,4.865695255443582,94013.71829762922,1333441.2257262291,1521468.6623214874,1333441.2257262291,Buyers
FRA,Clipperton,203682.437558439,771762.1418295569,230018.6903343066,203682.437558439,771762.1418295569,230018.6903343066,4.796331042273948,NA,4.796331042273948,0,0,0,0,Doesn't participate
MUS,Maldives,5047.0268577517545,11557.7509765625,6144.705127496279,2674.9242346084297,5764.894362877507,6144.705127496279,2.4420767285391527,NA,4.439888564440502,10531.871310173367,-16324.72792385836,4739.014696488373,4739.014696488373,Sellers
CAN,West Greenland Shelf,1188.6253424457032,8424.5150146484375,1804.9234713522983,629.9714314962226,1777.18511816927,1804.9234713522983,11.89883354648222,NA,913.255016297881,510193.48654904275,-516840.8164455219,503546.1566525636,503546.1566525636,Sellers
CAN,Beaufort Sea - continental coast and shelf,61110.36556804872,294453.60710069485,72185.88401750229,61110.36556804872,295128.6780514,76382.91117488654,9.14418804543729,NA,8.727108038710158,0,675.0709507051506,675.0709507051506,675.0709507051506,Buyers
CHL,Araucanian,132881.44445153791,673105.5220472818,154933.08571886827,132881.44445153791,673105.5220472818,154933.08571886827,7.989957251274571,NA,7.989957251274571,0,0,0,0,Doesn't participate
GNB,Gulf of Guinea West,51108.96161950344,209219.77577820164,33329.9613526393,51108.96161950344,712441.8387929951,54518.89750376599,134.81919216747255,NA,4.865695255443582,0,503222.06301479344,503222.06301479344,503222.06301479344,Buyers
USA,Floridian,78775.03326729269,7709471.402485759,88493.15981077854,78775.03326729269,7709471.402485759,88493.15981077854,579.8786499477139,NA,579.8786499477139,0,0,0,0,Doesn't participate
MDG,Western and Northern Madagascar,347835.4626170402,1672675.4306640625,378351.6751045199,366465.0781338458,1803202.4340851968,401255.76338520006,7.198359564902134,NA,6.933920900886951,129176.28040746631,1350.723013668001,259703.28382860054,1350.723013668001,Buyers
VIR,Eastern Caribbean,0,0,NA,9896.099132231875,37207.64891173383,11789.86953345624,5.270562974361952,NA,2.0362748484783793,20151.17776101248,17056.471150721347,57358.826672746305,17056.471150721347,Buyers
COM,Seychelles,14222.07018882814,43534.3515625,15186.428321273585,10554.147515977369,28475.745524554568,12140.795271056948,3.381305660603143,NA,4.4256801863552715,16233.052698318927,-31291.65873626436,1174.4466603734945,1174.4466603734945,Sellers
DMA,Eastern Caribbean,0,0,NA,15573.610144231194,45042.71748659489,17781.240314251092,3.4212661602680208,NA,2.0362748484783793,31712.150636705723,13330.566849889168,76754.8681233006,13330.566849889168,Buyers
FRA,South European Atlantic Shelf,62899.39177394407,386875.01220703125,70418.32755922877,85200.05962981649,13111639.770797784,97872.42641843646,1170.549709518694,NA,13.386800305068666,298534.58725622785,12426230.171334524,13023299.34584698,12426230.171334524,Buyers
KIR,Tuamotus,7869.06865482941,20805.466796875,9143.172542146798,256628.4708652183,989957.8533958852,309136.9838325511,4.465098347676928,NA,2.787203730270457,693343.1337806449,275809.25281836535,1662495.520379655,275809.25281836535,Buyers
KIR,Line Islands,494823.60417495295,1725583.9227505825,475772.3099720419,494823.604174953,1730296.5160969424,549479.9653005069,4.137623111042338,NA,3.9650583371716577,2.3079677119220477e-10,4712.593346359676,4712.59334636014,4712.593346359676,Buyers
KIR,Phoenix/Tokelau/Northern Cook Islands,5552.108243574037,13910.576171875,6154.246636870401,304765.3590146049,1163082.3853654584,359202.1622115241,4.675730212275476,NA,2.571115074089368,769311.6994246795,379860.10976890393,1918483.508618263,379860.10976890393,Buyers
VIR,Greater Antilles,0,0,NA,8450.257996794444,23846.0341316609,11789.86953345624,3.0838560164309303,NA,1.285462123580724,10862.48658936438,12983.547542296521,34708.520721025285,12983.547542296521,Buyers
DOM,Southern Caribbean,2701.108719730694,6891.46826171875,2969.5970518107,2868.9850483648747,7336.533496069376,5939.1941036214,2.651149438230018,NA,2.58809128785202,434.4792635747063,10.585970775919975,879.5444979253325,10.585970775919975,Buyers
MDG,Southeast Madagascar,205769.31323104017,928773.0950990915,228608.41311009444,205769.31323104017,928773.0950990915,228608.41311009444,5.815981726616877,NA,5.815981726616877,0,0,0,0,Doesn't participate
NRU,Gilbert/Ellis Islands,195147.60646870092,743431.65087890625,239929.03752796983,133925.36898366627,476181.9397027567,166104.1462687662,4.106530638141295,NA,6.646445415891724,406910.259683043,-674159.9708591925,139660.54850689345,139660.54850689345,Sellers
NZL,Lord Howe and Norfolk Islands,0,0,NA,1217.2924664385978,3274.9261572265627,2605.0134976013537,2.6903363386515755,NA,0.131029049344212,159.50067465132057,3115.4254825752423,3434.426831877883,3115.4254825752423,Buyers
MHL,Marshall Islands,758919.2430019819,2714801.4990234375,885815.2306334847,807544.7408594732,2910982.224555121,943376.9720415081,4.060993982643694,NA,4.017827174475881,195368.84666424757,811.8788674357347,391549.5721959309,811.8788674357347,Buyers
