iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
CRI,Global,453313.2516027618,2212947.777176857,525563.8101542966,370714.2782407287,115919.93181562812,429897.580541401,2.823772138562948,NA,116.45780417424845,0.2451520779797619,9619295.064789612,-11716322.91015084,7522267.219428383,7522267.219428383,Sellers
TCA,Global,59149.81251114757,178911.59854221344,76493.00611129677,52329.93903032962,35491.104391247165,67510.46983801654,13.045839091975337,NA,116.45780417424845,0.2451520779797619,794227.490322247,-937647.9844732133,650806.9961712807,650806.9961712807,Sellers
CYM,Global,93386.3166914745,64419.63817882538,113439.45092669428,70039.73751860586,1411.176544841926,83822.92964174914,0.05788275691550613,NA,116.45780417424845,0.2451520779797619,2718891.3454525224,-2781899.807086506,2655882.883818539,2655882.883818539,Sellers
ATG,Global,80114.87263125872,228890.2424697876,93181.59022413642,70370.927352126,37623.28595922234,81517.56509876171,13.530099694962363,NA,116.45780417424845,0.2451520779797619,1134758.471201831,-1326025.4277123963,943491.5146912658,943491.5146912658,Sellers
DOM,Global,218671.15018792168,535059.346455574,256316.4239135864,179181.9713543068,188659.33823734423,210058.8609905665,2.5513479747700947,NA,116.45780417424845,0.2451520779797619,4598823.055606999,-4945223.063825229,4252423.04738877,4252423.04738877,Sellers
COG,Global,21451.439642184487,119989.60139465332,24499.525418566365,20805.96716104541,102963.7219311851,23708.11656050672,26.3773901459321,NA,116.45780417424845,0.2451520779797619,75170.3078083609,-92196.18727182913,58144.42834489267,58144.42834489267,Sellers
GAB,Global,137004.32861066342,1347205.4763450623,150451.34652270726,134780.09414329872,1171583.3225254521,147988.3114197683,78.95847150848677,NA,116.45780417424845,0.2451520779797619,259029.4620379723,-434651.6158575824,83407.30821836204,83407.30821836204,Sellers
HTI,Global,67912.49966062252,35106.735485076904,79190.02894880497,62974.40517753855,12240.459947767256,72938.80780243134,1.3306035062505057,NA,116.45780417424845,0.2451520779797619,575079.6403049291,-597945.9158422388,552213.3647676194,552213.3647676194,Sellers
AUS,Global,4079934.867198591,96536728.48693848,4582052.039208694,3540457.4566060766,47338690.98996874,3982192.5692865225,76.46239464703659,NA,116.45780417424845,0.2451520779797619,62826354.63921369,-112024392.13618343,13628317.142243952,13628317.142243952,Sellers
USA,Global,3831744.341654057,32127653.299262047,4371333.676576458,4450948.809822056,333385981.6521385,5088101.202729513,1018.9912524637056,NA,116.45780417424845,0.2451520779797619,72111192.69772851,229147135.6551479,373369521.05060494,229147135.6551479,Buyers
HND,Global,114383.7534819621,773811.1839313507,135116.42297553818,124742.32817603045,2575766.907371161,147213.7265263491,270.72522131035555,NA,116.45780417424845,0.2451520779797619,1206336.863246137,595618.8601936733,3008292.586685947,595618.8601936733,Buyers
CUW,Global,24668.494265497728,68619.61200141907,26942.1516349579,22808.15065720092,31151.745693960373,25008.16281425419,20.140293513713573,NA,116.45780417424845,0.2451520779797619,216651.53163184435,-254119.39793930305,179183.66532438566,179183.66532438566,Sellers
CUB,Global,181168.96129126297,256964.33285331726,223152.0939689073,217365.04106626735,17296316.44276741,265831.82825098344,539.0373981328715,NA,116.45780417424845,0.2451520779797619,4215315.970312935,12824036.13960116,21254668.08022703,12824036.13960116,Buyers
GBR,Global,71107.15257351886,2499781.5624046326,84315.7899296624,448551.094176727,798929708.1150825,526650.5678273079,3523.026798231488,NA,116.45780417424845,0.2451520779797619,43956292.63798288,752473633.914695,840386219.1906607,752473633.914695,Buyers
TON,Global,510809.63007949316,2284196.5074443817,596082.5329944354,383107.22255961987,36504.65542011972,444325.8631363016,0.811226912033498,NA,116.45780417424845,0.2451520779797619,14871941.967529476,-17119633.819553737,12624250.115505213,12624250.115505213,Sellers
GUY,Global,79226.66004890186,585730.3611660004,91164.01847928701,89968.28072749967,3437524.407342594,103383.0125729666,516.0757520144577,NA,116.45780417424845,0.2451520779797619,1250945.557502202,1600848.4886743918,4102739.6036787955,1600848.4886743918,Buyers
BRB,Global,157026.68387450668,805170.3081932068,176688.77754521728,121864.8349036304,23673.85345245426,137282.68272258385,2.7981695097932504,NA,116.45780417424845,0.2451520779797619,4094871.721854809,-4876368.176595562,3313375.2671140567,3313375.2671140567,Sellers
ABW,Global,24574.32764803728,116858.09015274048,26872.262215064067,20578.699996003117,21574.287110901852,22641.787539132576,3.790886862666721,NA,116.45780417424845,0.2451520779797619,465322.0226538067,-560605.8256956453,370038.2196119681,370038.2196119681,Sellers
BLZ,Global,11844.577469690063,34226.430950164795,14682.308506972542,21858.946322914555,4544461.159529847,26791.856069956615,611.8322776867158,NA,116.45780417424845,0.2451520779797619,1166251.4068375109,3343983.3217421714,5676486.135417193,3343983.3217421714,Buyers
VGB,Global,53835.754159236065,109869.84418106079,66245.10577936248,46364.069932249055,9971.319275104968,56803.581518047686,2.443908907477645,NA,116.45780417424845,0.2451520779797619,870135.9385582742,-970034.4634642301,770237.4136523184,770237.4136523184,Sellers
ROU,Global,21588.514641905746,691005.6460723877,30984.0613862097,19042.787793275096,440820.06712766364,27489.77862156015,86.2220392222058,NA,116.45780417424845,0.2451520779797619,296469.7588189548,-546655.3377636789,46284.17987423076,46284.17987423076,Sellers
COK,Global,1507299.9743701862,4333477.49004364,1870960.6417394194,1130474.9807776397,84239.22169919018,1403256.9360410012,0.12115668248929261,NA,116.45780417424845,0.2451520779797619,43884211.31176321,-48133449.58010766,39634973.043418765,39634973.043418765,Sellers
BGR,Global,11887.878501289459,523076.1739311218,18050.576155813324,15547.23646552209,1151168.150844809,24399.283792869246,200.85329852196654,NA,116.45780417424845,0.2451520779797619,426160.79320208024,201931.18371160683,1054252.7701157674,201931.18371160683,Buyers
TTO,Global,37016.96787736404,355550.97242736816,42262.601200049816,46221.20085918701,1991136.9961947836,53248.71262157782,199.68804761904386,NA,116.45780417424845,0.2451520779797619,1071904.7621712983,563681.2615961172,2707490.7859387137,563681.2615961172,Buyers
EGY,Global,89309.79900477162,660774.1999969482,114840.76594000375,143657.03855431496,18265295.18041277,182645.40492403094,517.4028126811264,NA,116.45780417424845,0.2451520779797619,6329160.18087169,11275360.799544131,23933681.16128751,11275360.799544131,Buyers
IDN,Global,2238425.602891356,31963430.844352722,2709712.7955208556,3742522.227947939,1664736471.2418263,4434015.2377178855,2087.0866800192925,NA,116.45780417424845,0.2451520779797619,175163790.21998754,1457609250.177486,1807936830.6174612,1457609250.177486,Buyers
SUR,Global,77319.33560345012,956714.2884292603,91400.12713630173,80295.03867120694,1497878.1739909481,95041.0936935117,204.71361856367758,NA,116.45780417424845,0.2451520779797619,346543.8451455347,194620.04041615315,887707.7307072226,194620.04041615315,Buyers
AGO,Global,216324.0199007813,986489.032081604,237595.99347836652,313914.37614219094,16022195.925517388,344410.7307455234,192.81373047886945,NA,116.45780417424845,0.2451520779797619,11365158.596457228,3670548.2969785556,26400865.48989301,3670548.2969785556,Buyers
URY,Global,37400.503577817384,207205.35494232178,44655.61760719452,74493.88955915523,31480244.25127586,91410.27819199166,1170.5465446981673,NA,116.45780417424845,0.2451520779797619,4319814.2807744555,26953224.615559082,35592853.17710799,26953224.615559082,Buyers
SOM,Global,630424.9426188029,5522201.585998535,702852.5674467946,515650.45057070634,411106.1235898753,573489.0452456989,15.866454086273272,NA,116.45780417424845,0.2451520779797619,13366385.319136064,-18477480.781544723,8255289.8567274045,8255289.8567274045,Sellers
COL,Global,591228.938729697,5694207.239059448,672698.1976397578,467493.8949892863,242843.93095529964,527687.1079701529,1.2606198222216278,NA,116.45780417424845,0.2451520779797619,14409911.493412817,-19861274.801516965,8958548.185308669,8958548.185308669,Sellers
MUS,Global,1592588.4619033856,5815803.764625549,1793210.4511648575,1213302.2203427828,414069.79060323944,1371401.472227226,1.817662056854986,NA,116.45780417424845,0.2451520779797619,44170842.84565137,-49572576.81967369,38769108.87162907,38769108.87162907,Sellers
NFK,Global,293752.76927214325,1069339.3871307373,329773.2395131106,216219.56812825723,25122.29158961842,242319.83453738128,0.4687005635558794,NA,116.45780417424845,0.2451520779797619,9029346.355817294,-10073563.451358413,7985129.260276175,7985129.260276175,Sellers
