iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
VGB,Global,59121.38174366497,1551326.8441810608,72075.03755196743,50691.38312592563,45063.28543802051,63385.59579510182,18.26178485563726,NA,521.603311252745,4397115.192868901,-5903378.7516119415,2890851.6341258613,2890851.6341258613,Sellers
ROU,Global,25390.38372436679,1283437.2085723877,35362.18641721623,20820.114653980767,609711.470617407,30984.061386209694,105.79669017761368,NA,521.603311252745,2383867.480429355,-3057593.2183843357,1710141.7424743744,1710141.7424743744,Sellers
COK,Global,1507299.9743701864,4333477.49004364,1870960.6417394194,1235985.9789835527,98087.56424135732,1536233.0362844563,0.14364791582514877,NA,521.603311252745,141518278.38288018,-145753668.30868247,137282888.4570779,137282888.4570779,Sellers
BGR,Global,17548.875746225804,1554521.8301811218,27066.812285064923,16998.31186897082,1443522.9096167192,27066.812285064923,201.60952280019555,NA,521.603311252745,287175.9414323489,-398174.8619967515,176177.02086794632,176177.02086794632,Sellers
TTO,Global,54400.82405540852,5122016.097427368,63427.22469211763,50535.17960604446,3399168.9122845433,60408.70054071773,373.89818099255,NA,521.603311252745,2016332.9449140874,-3739180.130056912,293485.75977126276,293485.75977126276,Sellers
EGY,Global,147208.56778209977,20107693.32499695,187848.8353159916,157065.02881938434,25728573.746697724,200972.5309242375,594.6286221579738,NA,521.603311252745,5141162.714281302,479717.7074194737,10762043.135982078,479717.7074194737,Buyers
IDN,Global,2433338.714029835,94131581.18810272,2935819.369300143,4099364.515955409,2484638855.2889066,4828683.287498579,2466.225014844369,NA,521.603311252745,869004574.9168893,1521502699.1839147,3259511849.017693,1521502699.1839147,Buyers
SUR,Global,92104.9577551259,5584036.97592926,109739.62579135507,87789.24228051961,3776772.9411045904,106683.54602110536,389.6758706704802,NA,521.603311252745,2251091.481979352,-4058355.516804022,443827.44715468213,443827.44715468213,Sellers
AGO,Global,342200.86749634426,24935355.594581604,376085.15985527413,343213.0512487954,25671010.37513884,379147.0482149357,726.7996337381705,NA,521.603311252745,527958.3968747488,207696.3836824888,1263613.1774319857,207696.3836824888,Buyers
URY,Global,43336.40816623116,2533233.448692322,52187.56351737346,81446.65258467638,40211407.28749339,102547.70753973517,1526.1819961895444,NA,521.603311252745,19878429.68131247,17799744.1574886,57556603.52011354,17799744.1574886,Buyers
