iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
UKR,Black Sea,44122.384147255434,2761696.7661618395,63926.6924814181,44122.38414725544,2815264.1802102984,70474.75546501343,204.57093144269228,NA,186.3533883535885,1.3558993549201733e-9,53567.41404845756,53567.41404846031,53567.41404845756,Buyers
ISL,Northern European Seas,254753.86604400983,47651526.88042587,305141.1473198541,164969.84626092622,1606855.6177733077,199014.9554003972,71.9183644863116,NA,1307.0434455112065,117351614.56912793,-163396285.8317805,71306943.30647537,71306943.30647537,Sellers
ZAF,Agulhas,315035.854921375,9424.638811364533,347027.8526251467,315035.854921375,9424.638811364533,347027.8526251467,0.1375262915875226,NA,0.1375262915875226,0,0,0,0,Doesn't participate
ZAF,Subantarctic Islands,192996.81148115164,2603.283471107483,233423.88656774562,117477.57596918596,235.63595671086756,146579.69936278323,0.004354858224976194,NA,0.11766651315353359,8886.085118713512,-11253.732633110129,6518.437604316897,6518.437604316897,Sellers
NIU,Tropical Southwestern Pacific,233236.08456001992,3340.5266466140747,284057.71785755106,133067.38765178574,396.8154124352541,162317.6004806961,0.00505843553437427,NA,0.9079903859964108,90952.21377046504,-93895.92500464385,88008.50253628622,88008.50253628622,Sellers
ZAF,Benguela,102004.7864986319,1151.3544212235158,120674.9066278469,102004.7864986319,1403.2792432509655,115395.20493825145,0.09270976898072547,NA,0.18506959414950777,0,251.92482202744964,251.92482202744964,251.92482202744964,Buyers
WLF,Central Polynesia,103017.09842410794,52038.27229619026,131803.9815506738,68919.84782109804,8071.60443003949,89800.13817569661,0.4601435822954404,NA,3.3956960129976776,115783.89792682338,-159750.56579297414,71817.2300606726,71817.2300606726,Sellers
"NAM",Benguela,221115.58218097358,2924.933524131775,262293.8853013511,216882.58933935806,2274.641217895357,259475.69679385336,0.13391086282485162,NA,0.18506959414950777,783.3982672355552,-1433.690573471973,133.1059609991371,133.1059609991371,Sellers
GEO,Black Sea,13155.290999185083,1233625.6190218925,20422.917141486145,7442.512531656537,466275.2483858445,11333.918782511697,80.0622380407379,NA,186.3533883535885,1064595.6243373654,-1831945.9949734134,297245.25370131736,297245.25370131736,Sellers
BMU,Tropical Northwestern Atlantic,312020.3209190942,10246.293159484863,348556.4696212297,169520.00519097003,2825.8956314513566,189690.47293498507,0.02265946119314198,NA,2.084526615235528,297045.7008147408,-304466.0983427743,289625.30328670726,289625.30328670726,Sellers
