iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
GBR,NW,9774.535490332675,3475.7293968200684,11543.887668846828,126808.1459390493,29609452.759878393,151083.01733447402,1261.2423798478862,NA,2.0326589616219333,237889.41708955416,29368087.613392018,29843866.44757113,29368087.613392018,Buyers
TON,SW,143026.6964222581,-53625.4395097098,402329.6402368768,143026.69642225813,2326.6690267095246,162929.10474366968,0.0188275280191812,NA,0.3494474080244459,1.0170258116688518e-11,55952.10853641932,55952.108536419335,55952.10853641932,Buyers
GUY,NW,60503.42600763715,10488.786947250366,69870.78039486002,33588.158138266546,670.4774618425597,39473.111797710255,0.02891475561134498,NA,2.0326589616219333,54709.56043913103,-64527.86992453884,44891.250953723225,44891.250953723225,Sellers
BRB,NW,119635.41396296886,17435.555751800537,134752.41557986516,45496.20503068868,902.3335849012468,53781.77932720495,0.023903760103866,NA,2.0326589616219333,150699.72744376017,-167232.94961065947,134166.50527686087,134166.50527686087,Sellers
ABW,NW,16242.849944317833,8485.709781646729,17891.318223256814,7682.714665174499,143.76097163652835,8949.339634289681,0.02098794250558295,NA,2.0326589616219333,17399.835687846768,-25741.78449785697,9057.886877836567,9057.886877836567,Sellers
BLZ,NW,7006.445836806402,4554.187786102295,8818.930115120478,8160.673293888103,9561.265951660576,11750.619311046512,4.338034184542763,NA,2.0326589616219333,2346.1507843872146,2660.927381171067,7353.228949945496,2660.927381171067,Buyers
VGB,NW,44677.95215367781,5850.601016998291,54769.21767991721,17309.252774706318,442.7529372998133,23047.705571486134,0.028783586598720295,NA,2.0326589616219333,55631.23206060305,-61039.08014030153,50223.38398090457,50223.38398090457,Sellers
ROU,NE,4473.8445204589125,9503.633377075195,6660.793971339075,7109.307442822702,34875.43770744887,11076.327732314225,12.062271141106617,NA,6.258382183096456,16493.73419753286,8878.070132840818,41865.53852790654,8878.070132840818,Buyers
COK,SW,1301260.2661156307,108678.61357879639,1615464.6164942135,422043.9928236522,21621.661004651723,524572.4266459849,0.06483415472943388,NA,0.3494474080244459,307239.84779479477,-394296.8003689394,220182.8952206501,220182.8952206501,Sellers
BGR,NE,4207.5022470747535,121.01182174682617,6753.038488163048,5804.3016137949135,13589.334620761872,11261.156552788849,24.502403671797136,NA,6.258382183096456,9993.380706661153,3474.942092353893,23461.7035056762,3474.942092353893,Buyers
TTO,NW,26448.11018587064,12816.310317993164,30184.099058182917,17255.91498742982,5078.755381220347,21133.846776064012,0.57596350027963406,NA,2.0326589616219333,18684.597947088834,-26422.15288386165,10947.043010316018,10947.043010316018,Sellers
EGY,NE,65268.37650956514,42065.36015319824,83456.652019317,53631.96106027758,20879.10632750652,70248.98112408971,0.8627531129878245,NA,6.258382183096456,72825.13512292961,-94011.38894862133,51638.881297237895,51638.881297237895,Sellers
IDN,NE,445282.91540641536,125540.43885803223,559450.5556051575,391266.2353679469,32753.677775762942,494915.77861498424,0.18839707806720413,NA,6.258382183096456,338057.02794277295,-430843.7890250422,245270.26686050367,245270.26686050367,Sellers
SUR,NW,47061.78345284004,14398.737159729004,54800.52455130029,29976.814437250607,2130.7684659233837,36519.53055866055,0.10214181993629366,NA,2.0326589616219333,34727.91537857093,-46995.884072376546,22459.94668476531,22459.94668476531,Sellers
IDN,SE,419341.5911830609,39891.195167541504,502690.67629377625,955314.915958418,6676534.613954427,1129802.1043496055,16.76016349049688,NA,0.49235518236642634,263889.2440633108,6372754.174723575,6900532.662850196,6372754.174723575,Buyers
AGO,SE,147147.17451350365,32022.26377105713,159562.63219266516,117194.70042641797,20676.419585483618,129503.30300559601,0.31261598380148303,NA,0.49235518236642634,14747.255841472728,-26093.10002704624,3401.4116558992173,3401.4116558992173,Sellers
URY,SW,22758.671246525137,2814.74959564209,27265.45021330843,27811.05210208462,7545.546048262553,34702.428880712796,1.227215196029062,NA,0.3494474080244459,1765.5413943275942,2965.255058292869,6496.337846948058,2965.255058292869,Buyers
SOM,NE,420920.5827573354,95664.02294921875,467565.1141695081,168648.86490445674,12331.687096833082,186815.2903972233,0.09776716619103021,NA,6.258382183096456,1578812.824309592,-1662145.1601619776,1495480.4884572062,1495480.4884572062,Sellers
COL,NW,482672.7699799445,265241.41581726074,545461.7221435191,172989.47106734605,41055.106331350464,191735.77926500046,0.33768427298364906,NA,2.0326589616219333,629480.5327993372,-853666.8422852475,405294.2233134269,405294.2233134269,Sellers
USA,NE,1476.9840788990607,62.559749603271484,1758.0065651713828,10284.414902673007,106073.13136191404,13265.90280892046,13.582514210425115,NA,6.258382183096456,55120.268146361406,50890.303465949364,161130.83975867217,50890.303465949364,Buyers
SJM,NW,15948.862474229523,15311.919235229492,19735.261835977082,26785.83268228187,46172.75363614141,33365.889359467605,3.8872263133264573,NA,2.0326589616219333,22027.864610227512,8832.969790684405,52888.699011139426,8832.969790684405,Buyers
MUS,SE,451121.20838191954,41.694529151020106,1180911.1343192847,451121.20838191954,54677.525563621675,513826.2958683976,0.3002223943349378,NA,0.49235518236642634,0,54635.831034470655,54635.831034470655,54635.831034470655,Buyers
NFK,SE,218467.06470938772,26175.69450378418,244847.19151358344,57737.368880113776,3543.502889285022,67303.48549181629,0.0758942847224773,NA,0.49235518236642634,79136.09870172241,-101768.29031622157,56503.907087223255,56503.907087223255,Sellers
SLE,NW,84005.68446203288,10017.505424499512,94821.89824190957,40467.81986769364,2553.8274650051676,48945.14417952747,0.08268337938786746,NA,2.0326589616219333,88497.63063756593,-95961.30859706027,81033.95267807158,81033.95267807158,Sellers
SOM,SE,62687.8567690094,5892.043518066406,67692.75591954474,23860.63664194032,1680.7845770593942,27693.76071763714,0.08331016571118458,NA,0.49235518236642634,19116.783046444474,-23328.041987451485,14905.524105437462,14905.524105437462,Sellers
