iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
IND,NE,956680.035512619,7588152.35231706,1148493.4783119182,802706.9001042717,5678298.139543842,962490.8290512866,11.670265844715795,NA,13.831359285067423,0.16379891564702276,2129657.756081187,-4039511.968854406,219803.54330796842,219803.54330796842,Sellers
VUT,SE,380431.06448257645,207716.59202575684,433110.31410174054,228634.01899242605,49747.73023623074,260856.97866277734,0.3441692610436763,NA,3.184158393777576,0.6177285385929996,483345.83654809895,-641314.698337625,325376.9747585729,325376.9747585729,Sellers
KEN,SE,65711.63577795016,15018.290283203125,70642.70952536562,41645.06570223539,4974.821284445034,44602.3511068635,0.16158665552062274,NA,3.184158393777576,0.6177285385929996,76631.7711160234,-86675.2401147815,66588.30211726531,66588.30211726531,Sellers
NIC,NW,74000.94293345243,47979.06005859375,87166.7128646799,75014.27023946549,52226.06434709848,88267.09867336269,4.191147582131789,NA,3.923656497123976,0.34990833533554755,3975.9482679512766,271.056020553453,8222.952556456003,271.056020553453,Buyers
JPN,NE,1619330.6233967734,7930522.182159424,1760619.6036091724,1301827.6101604202,4303207.522329799,1411581.8019620068,9.219054882177966,NA,13.831359285067423,0.16379891564702276,4391498.250163519,-8018812.909993144,764183.5903338939,764183.5903338939,Sellers
ESP,NW,57112.093939959625,80877.1442565918,64180.64860522146,263571.7135500568,2081082.6364962969,310372.197273095,13.947087669360567,NA,3.923656497123976,0.34990833533554755,810076.6278769025,1190128.8643628026,2810282.1201166073,1190128.8643628026,Buyers
BEN,NE,30558.342522386207,68983.34747314453,33737.73488450098,16738.546391837797,4772.810226752992,18397.945935635114,0.4664837495369954,NA,13.831359285067423,0.16379891564702276,191146.5655279996,-255357.10277439113,126936.02828160806,126936.02828160806,Sellers
COD,SE,8354.02768067918,1992.7722473144531,9171.259344304224,4585.514794122184,632.9553055005581,4861.6599908840635,0.13928047749206612,NA,3.184158393777576,0.6177285385929996,11999.541939789424,-13359.358881603319,10639.724997975529,10639.724997975529,Sellers
TLS,SE,7745.71925602601,2227.8931579589844,9108.1429994299815,30575.306660289265,420599.93182404945,34440.48125769522,28.125863002606653,NA,3.184158393777576,0.6177285385929996,72693.022359763665,345679.0163063268,491065.06102585414,345679.0163063268,Buyers
GTM,NW,56160.16156883338,24926.16146850586,69166.43082545865,39314.10568016329,10030.828542003832,48522.887800758275,0.36140520421829636,NA,3.923656497123976,0.34990833533554755,66098.136638494,-80993.46956499603,51202.803711991975,51202.803711991975,Sellers
VCT,NW,13398.15645557021,24542.486755371094,14984.92900700879,12692.211853026092,21934.384886488835,14190.62383840421,3.694485175583261,NA,3.923656497123976,0.34990833533554755,2769.8841263818294,-5377.985995264088,161.78225749956982,161.78225749956982,Sellers
FJI,SE,644307.5241844655,404084.16006469727,747843.7332014691,356909.1370571164,132114.84124050566,412666.6565231157,0.5222983626740139,NA,3.184158393777576,0.6177285385929996,915121.986729686,-1187091.3055538777,643152.6679054945,643152.6679054945,Sellers
WSM,SW,53633.9013632604,14119.946105957031,68864.92287867969,46442.25392847515,11371.051264851838,59798.938825504054,0.31544622034578995,NA,1.9925651417813481,0.606415319087619,14329.825990534338,-17078.720831639534,11580.931149429145,11580.931149429145,Sellers
LBR,NW,147244.1712965344,51065.809143066406,162703.9922638149,97118.76637748319,26243.465891486907,107189.0943142991,0.3424998492460103,NA,3.923656497123976,0.34990833533554755,196674.87068160536,-221497.21393318486,171852.52743002586,171852.52743002586,Sellers
GLP,NW,60158.61339993112,52068.596435546875,67726.79469671784,34101.0818109332,12438.280968784838,38485.143235180316,0.7199576373114588,NA,3.923656497123976,0.34990833533554755,102240.80311818492,-141871.11858494696,62610.48765142288,62610.48765142288,Sellers
GUF,NW,48285.86059494468,52734.716735839844,54951.39154483315,44503.72596729219,39253.38404934111,50693.41998930217,2.7072756200611225,NA,3.923656497123976,0.34990833533554755,14839.797104786274,-28321.129791285006,1358.4644182875418,1358.4644182875418,Sellers
PAK,NE,99119.02588409376,197793.92169189453,118904.12834129299,77006.14509249707,32797.316857821774,92455.59949824453,0.9724637919917379,NA,13.831359285067423,0.16379891564702276,305851.1990564399,-470847.8038905127,140854.59422236716,140854.59422236716,Sellers
