iso3,iso3n,ecoregion,eco_code,province,pro_code,realm,rlm_code
SOM,706,Central Somali Coast,20093,Somali/Arabian,19,Western Indo-Pacific,5
YEM,887,Central Somali Coast,20093,Somali/Arabian,19,Western Indo-Pacific,5
AUS,36,Central and Southern Great Barrier Reef,20143,Northeast Australian Shelf,33,Central Indo-Pacific,6
MDV,462,Chagos,20106,Central Indian Ocean Islands,22,Western Indo-Pacific,5
MUS,480,Chagos,20106,Central Indian Ocean Islands,22,Western Indo-Pacific,5
ARG,32,Channels and Fjords of Southern Chile,20187,Magellanic,48,Temperate South America,9
CHL,152,Channels and Fjords of Southern Chile,20187,Magellanic,48,Temperate South America,9
NZL,554,Chatham Island,25198,Southern New Zealand,54,Temperate Australasia,11
CRI,188,Chiapas-Nicaragua,20167,Tropical East Pacific,43,Tropical Eastern Pacific,8
GTM,320,Chiapas-Nicaragua,20167,Tropical East Pacific,43,Tropical Eastern Pacific,8
HND,340,Chiapas-Nicaragua,20167,Tropical East Pacific,43,Tropical Eastern Pacific,8
MEX,484,Chiapas-Nicaragua,20167,Tropical East Pacific,43,Tropical Eastern Pacific,8
NIC,558,Chiapas-Nicaragua,20167,Tropical East Pacific,43,Tropical Eastern Pacific,8
SLV,222,Chiapas-Nicaragua,20167,Tropical East Pacific,43,Tropical Eastern Pacific,8
CHL,152,Chiloense,20188,Magellanic,48,Temperate South America,9
RUS,643,Chukchi Sea,20013,Arctic,1,Arctic,1
USA,840,Chukchi Sea,20013,Arctic,1,Arctic,1
FRA,250,Clipperton,20165,Tropical East Pacific,43,Tropical Eastern Pacific,8
COL,170,Cocos Islands,20169,Tropical East Pacific,43,Tropical Eastern Pacific,8
CRI,188,Cocos Islands,20169,Tropical East Pacific,43,Tropical Eastern Pacific,8
ECU,218,Cocos Islands,20169,Tropical East Pacific,43,Tropical Eastern Pacific,8
PAN,591,Cocos Islands,20169,Tropical East Pacific,43,Tropical Eastern Pacific,8
CCK,166,Cocos-Keeling/Christmas Island,20120,Java Transitional,27,Central Indo-Pacific,6
CXR,162,Cocos-Keeling/Christmas Island,20120,Java Transitional,27,Central Indo-Pacific,6
IDN,360,Cocos-Keeling/Christmas Island,20120,Java Transitional,27,Central Indo-Pacific,6
AUS,36,Coral Sea,20150,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
NCL,540,Coral Sea,20150,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
MEX,484,Cortezian,20060,Warm Temperate Northeast Pacific,11,Temperate Northern Pacific,3
ATF,260,Crozet Islands,20215,Subantarctic Islands,59,Southern Ocean,12
ATF,260,Delagoa,20102,Western Indian Ocean,20,Western Indo-Pacific,5
MOZ,508,Delagoa,20102,Western Indian Ocean,20,Western Indo-Pacific,5
ZAF,710,Delagoa,20102,Western Indian Ocean,20,Western Indo-Pacific,5
ATF,260,East African Coral Coast,20095,Western Indian Ocean,20,Western Indo-Pacific,5
COM,174,East African Coral Coast,20095,Western Indian Ocean,20,Western Indo-Pacific,5
KEN,404,East African Coral Coast,20095,Western Indian Ocean,20,Western Indo-Pacific,5
MOZ,508,East African Coral Coast,20095,Western Indian Ocean,20,Western Indo-Pacific,5
SYC,690,East African Coral Coast,20095,Western Indian Ocean,20,Western Indo-Pacific,5
TZA,834,East African Coral Coast,20095,Western Indian Ocean,20,Western Indo-Pacific,5
FSM,583,East Caroline Islands,20124,Tropical Northwestern Pacific,29,Central Indo-Pacific,6
MHL,584,East Caroline Islands,20124,Tropical Northwestern Pacific,29,Central Indo-Pacific,6
CHN,156,East China Sea,20052,Warm Temperate Northwest Pacific,9,Temperate Northern Pacific,3
JPN,392,East China Sea,20052,Warm Temperate Northwest Pacific,9,Temperate Northern Pacific,3
KOR,410,East China Sea,20052,Warm Temperate Northwest Pacific,9,Temperate Northern Pacific,3
TWN,158,East China Sea,20052,Warm Temperate Northwest Pacific,9,Temperate Northern Pacific,3
GRL,304,East Greenland Shelf,20003,Arctic,1,Arctic,1
ISL,352,East Greenland Shelf,20003,Arctic,1,Arctic,1
RUS,643,East Siberian Sea,20015,Arctic,1,Arctic,1
CHL,152,Easter Island,20163,Easter Island,42,Eastern Indo-Pacific,7
RUS,643,Eastern Bering Sea,25014,Arctic,1,Arctic,1
USA,840,Eastern Bering Sea,25014,Arctic,1,Arctic,1
BRA,76,Eastern Brazil,20076,Tropical Southwestern Atlantic,14,Tropical Atlantic,4
AIA,660,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
ATG,28,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
BES,535,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
BLM,652,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
BRB,52,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
DMA,212,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
GLP,312,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
GRD,308,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
GUY,328,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
KNA,659,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
