"iso3","country","region","gdp_impute","per_capita_gdp","population"
"NAM","Namibia","Sub-Saharan Africa",FALSE,5.3246170395396,2118.874
"NCL","New Caledonia","East Asia & Pacific",TRUE,3.65473980000684,249.75
"NER","Niger","Sub-Saharan Africa",FALSE,0.347343040654604,16464.025
"NGA","Nigeria","Sub-Saharan Africa",FALSE,2.29244515619082,158503.197
"NIC","Nicaragua","Latin America & Caribbean",FALSE,1.50387042323136,5824.065
"NLD","Netherlands","Europe & Central Asia",FALSE,50.9500343435181,16615.394
"NOR","Norway","Europe & Central Asia",FALSE,87.6937900658099,4889.252
"NPL","Nepal","South Asia",FALSE,0.592401097450929,27013.212
"NRU","Nauru","East Asia & Pacific",FALSE,4.92111911101615,10.005
"NZL","New Zealand","East Asia & Pacific",FALSE,33.6920108346543,4350.7
"OMN","Oman","Middle East & North Africa",FALSE,19.2811656336502,3041.434
"PAN","Panama","Latin America & Caribbean",FALSE,8.08202845866252,3642.687
"PER","Peru","Latin America & Caribbean",FALSE,5.08235475666351,29027.674
"PYF","French Polynesia","East Asia & Pacific",TRUE,3.65473980000684,266.455
"PNG","Papua New Guinea","East Asia & Pacific",FALSE,1.94935251706997,7310.507
"PHL","Philippines","East Asia & Pacific",FALSE,2.12405676974627,93966.78
"PAK","Pakistan","South Asia",FALSE,0.987409723043923,179424.641
"POL","Poland","Europe & Central Asia",FALSE,12.5995335818707,38042.794
"PRI","Puerto Rico","Latin America & Caribbean",FALSE,26.43574878578,3721.525
"PSE","West Bank and Gaza","Middle East & North Africa",FALSE,2.35412598671847,3786.161
"PRT","Portugal","Europe & Central Asia",FALSE,22.4986908586557,10573.1
"PLW","Palau","East Asia & Pacific",FALSE,10.2199275967697,17.955
"PRY","Paraguay","Latin America & Caribbean",FALSE,4.35593493867734,6248.02
"QAT","Qatar","Middle East & North Africa",FALSE,67.4031602978106,1856.327
"ROU","Romania","Europe & Central Asia",FALSE,8.2099194562169,20246.871
"SRB","Serbia","Europe & Central Asia",FALSE,5.73542285659849,7291.436
"RUS","Russian Federation","Europe & Central Asia",FALSE,10.6749972024184,142849.449
"RWA","Rwanda","Sub-Saharan Africa",FALSE,0.582694119127261,10039.338
"SAU","Saudi Arabia","Middle East & North Africa",FALSE,19.2625476811757,27421.461
"SLB","Solomon Islands","East Asia & Pacific",FALSE,1.29039878585913,527.861
"SYC","Seychelles","Sub-Saharan Africa",FALSE,10.8046844747547,89.77
"SDN","Sudan","Sub-Saharan Africa",FALSE,1.48987691083872,34545.013
"SWE","Sweden","Europe & Central Asia",FALSE,52.817441365794,9378.126
"SGP","Singapore","East Asia & Pacific",FALSE,47.2369602345421,5076.732
"SVN","Slovenia","Europe & Central Asia",FALSE,23.5095433941493,2048.583
"SVK","Slovak Republic","Europe & Central Asia",FALSE,16.7272913264619,5391.428
"SLE","Sierra Leone","Sub-Saharan Africa",FALSE,0.401835001366837,6415.634
"SMR","San Marino","Europe & Central Asia",FALSE,68.4963606802049,31.229
"SEN","Senegal","Sub-Saharan Africa",FALSE,1.27897775413162,12678.148
"SOM","Somalia","Sub-Saharan Africa",TRUE,0.951687961116879,12043.883
"SUR","Suriname","Latin America & Caribbean",FALSE,8.2557968587048,529.131
"SSD","South Sudan","Sub-Saharan Africa",FALSE,1.53570818548721,9508.364
"STP","Sao Tome and Principe","Sub-Saharan Africa",FALSE,1.09471063611153,180.371
"SLV","El Salvador","Latin America & Caribbean",FALSE,2.98324270784904,6183.875
"SXM","Sint Maarten (Dutch part)","Latin America & Caribbean",TRUE,8.0597507128924,34.056
"SYR","Syrian Arab Republic","Middle East & North Africa",TRUE,7.17997816895607,21362.529
"SWZ","Eswatini","Sub-Saharan Africa",FALSE,4.16850518307998,1064.837
