"iso3","realm","province","ecoregion","chi_eco","chi_pro","chi_rea"
"HTI","Tropical Atlantic","Tropical Northwestern Atlantic","Bahamian",1.18018877506256,1.50188391894428,1.50188391894428
"PRI","Tropical Atlantic","Tropical Northwestern Atlantic","Bahamian",1.62155816865013,1.75855486661898,1.75855486661898
"TCA","Tropical Atlantic","Tropical Northwestern Atlantic","Bahamian",1.04834314948402,1.04834314948402,1.04834314948402
"USA","Tropical Atlantic","Tropical Northwestern Atlantic","Bahamian",0.866905058878234,1.13441768537608,1.13441768537608
"VGB","Tropical Atlantic","Tropical Northwestern Atlantic","Bahamian",1.45343892140822,1.51936167380849,1.51936167380849
"VIR","Tropical Atlantic","Tropical Northwestern Atlantic","Bahamian",1.67197689414024,1.7402351409947,1.7402351409947
"DEU","Temperate Northern Atlantic","Northern European Seas","Baltic Sea",1.29337336686479,1.33385816334949,1.33385816334949
"DNK","Temperate Northern Atlantic","Northern European Seas","Baltic Sea",1.29245152787158,1.3376347388889,1.3376347388889
"EST","Temperate Northern Atlantic","Northern European Seas","Baltic Sea",1.36515364181705,1.36515364181705,1.36515364181705
"FIN","Temperate Northern Atlantic","Northern European Seas","Baltic Sea",1.31876792739755,1.31876792739755,1.31876792739755
"LTU","Temperate Northern Atlantic","Northern European Seas","Baltic Sea",1.66046858760151,1.66046858760151,1.66046858760151
"LVA","Temperate Northern Atlantic","Northern European Seas","Baltic Sea",1.55218879151635,1.55218879151635,1.55218879151635
"POL","Temperate Northern Atlantic","Northern European Seas","Baltic Sea",1.68013249372327,1.68013249372327,1.68013249372327
"RUS","Temperate Northern Atlantic","Northern European Seas","Baltic Sea",1.47915402419037,1.84635726792132,2.48326953568723
"SWE","Temperate Northern Atlantic","Northern European Seas","Baltic Sea",1.4145622357889,1.43614715491051,1.43614715491051
"IDN","Central Indo-Pacific","Western Coral Triangle","Banda Sea",0.987713486363903,1.14890244712274,1.16371746005976
"TLS","Central Indo-Pacific","Western Coral Triangle","Banda Sea",0.688142466194489,0.862865605905029,0.884562279682811
"AUS","Temperate Australasia","Southeast Australian Shelf","Bassian",1.20672811577492,1.44449141342712,1.72732945266572
"CAN","Arctic","Arctic","Beaufort-Amundsen-Viscount Melville-Queen Maud",1.07707125887011,1.37536559492745,1.37536559492745
"CAN","Arctic","Arctic","Beaufort Sea - continental coast and shelf",1.29748831530412,1.37536559492745,1.37536559492745
"USA","Arctic","Arctic","Beaufort Sea - continental coast and shelf",1.67598460375343,1.02462723530826,1.02462723530826
"BMU","Tropical Atlantic","Tropical Northwestern Atlantic","Bermuda",1.02335732600049,1.02335732600049,1.02335732600049
"PNG","Central Indo-Pacific","Eastern Coral Triangle","Bismarck Sea",0.92471811644855,0.92748352715709,0.91437623994107
"BGR","Temperate Northern Atlantic","Black Sea","Black Sea",2.86394695788622,2.86394695788622,2.86394695788622
"GEO","Temperate Northern Atlantic","Black Sea","Black Sea",3.30994742816349,3.30994742816349,3.30994742816349
"ROU","Temperate Northern Atlantic","Black Sea","Black Sea",2.74573216487817,2.74573216487817,2.74573216487817
"RUS","Temperate Northern Atlantic","Black Sea","Black Sea",3.03183862232312,3.03183862232312,2.48326953568723
"TUR","Temperate Northern Atlantic","Black Sea","Black Sea",3.4175153594268,3.4175153594268,3.17507415539548
"UKR","Temperate Northern Atlantic","Black Sea","Black Sea",2.81255442933603,2.81255442933603,2.81255442933603
"AUS","Central Indo-Pacific","Sahul Shelf","Bonaparte Coast",0.798334845859637,0.636399388647822,0.955895277764987
"IDN","Central Indo-Pacific","Sahul Shelf","Bonaparte Coast",0.786294085891158,0.637164839816024,1.16371746005976
"TLS","Central Indo-Pacific","Sahul Shelf","Bonaparte Coast",0.915658874797561,0.915658874797561,0.884562279682811
"NZL","Southern Ocean","Subantarctic New Zealand","Bounty and Antipodes Islands",0.903908692401765,1.07415503979188,1.07415503979188
"NZL","Southern Ocean","Subantarctic New Zealand","Campbell Island",1.11075194339392,1.07415503979188,1.07415503979188
"AUS","Temperate Australasia","Southeast Australian Shelf","Cape Howe",1.09595507693744,1.44449141342712,1.72732945266572
"CPV","Tropical Atlantic","West African Transition","Cape Verde",2.00595857965989,2.00168700166835,2.00168700166835
"MUS","Western Indo-Pacific","Western Indian Ocean","Cargados Carajos/Tromelin Island",0.949030123220208,1.17977175683305,1.05741829517427
"SYC","Western Indo-Pacific","Western Indian Ocean","Cargados Carajos/Tromelin Island",1.00666025457353,1.05048034599623,1.05048034599623
"USA","Temperate Northern Atlantic","Warm Temperate Northwest Atlantic","Carolinian",1.09693170862126,1.23220272877182,1.38091101125582
"FRA","Temperate Northern Atlantic","Northern European Seas","Celtic Seas",1.71489681378703,1.66763115368592,1.64331150280577
"FRO","Temperate Northern Atlantic","Northern European Seas","Celtic Seas",2.17938496669134,2.04489512106495,2.04489512106495
"GBR","Temperate Northern Atlantic","Northern European Seas","Celtic Seas",1.80242415475283,1.87532985857743,1.87532985857743
"GGY","Temperate Northern Atlantic","Northern European Seas","Celtic Seas",1.33035231324343,1.33035231324343,1.33035231324343
"IRL","Temperate Northern Atlantic","Northern European Seas","Celtic Seas",1.67228527947819,1.67228527947819,1.67228527947819
"JEY","Temperate Northern Atlantic","Northern European Seas","Celtic Seas",0.722735032439232,0.722735032439232,0.722735032439232
"CHL","Temperate South America","Warm Temperate Southeastern Pacific","Central Chile",0.729503421707726,0.712804621345348,0.75678003031485
"JPN","Temperate Northern Pacific","Warm Temperate Northwest Pacific","Central Kuroshio Current",1.36311825448354,1.33579210372811,1.39024851677529
"NZL","Temperate Australasia","Southern New Zealand","Central New Zealand",0.804413166645122,0.835281538069323,0.892799294663267
"PER","Temperate South America","Warm Temperate Southeastern Pacific","Central Peru",0.666491307221128,0.65841029656965,0.65841029656965
"SOM","Western Indo-Pacific","Somali/Arabian","Central Somali Coast",1.00260546374362,1.00260546374362,1.0264573676538
"YEM","Western Indo-Pacific","Somali/Arabian","Central Somali Coast",0.442804791281621,0.951284626096541,0.976041619750699
"MDV","Western Indo-Pacific","Central Indian Ocean Islands","Chagos",0.831920007864634,0.891326001694097,0.892711536293405
"MUS","Western Indo-Pacific","Central Indian Ocean Islands","Chagos",0.825714876270895,0.826012854563168,1.05741829517427
"ARG","Temperate South America","Magellanic","Channels and Fjords of Southern Chile",0.794874996544425,0.952615486130234,0.965284834542195
"CHL","Temperate South America","Magellanic","Channels and Fjords of Southern Chile",0.774355907975706,0.768960202226976,0.75678003031485
"NZL","Temperate Australasia","Southern New Zealand","Chatham Island",1.17463008975715,0.835281538069323,0.892799294663267
"CRI","Tropical Eastern Pacific","Tropical East Pacific","Chiapas-Nicaragua",0.820582310358683,0.431052243630599,0.42823046906578
"GTM","Tropical Eastern Pacific","Tropical East Pacific","Chiapas-Nicaragua",0.642798689582262,0.642798689582262,0.642798689582262
"HND","Tropical Eastern Pacific","Tropical East Pacific","Chiapas-Nicaragua",2.01183665792147,2.01183665792147,2.01183665792147
"MEX","Tropical Eastern Pacific","Tropical East Pacific","Chiapas-Nicaragua",0.880146104311906,0.871603969327434,0.871603969327434
"NIC","Tropical Eastern Pacific","Tropical East Pacific","Chiapas-Nicaragua",0.840331770374741,0.841328179007063,0.841328179007063
"SLV","Tropical Eastern Pacific","Tropical East Pacific","Chiapas-Nicaragua",0.802641096015046,0.802641096015046,0.802641096015046
"CHL","Temperate South America","Magellanic","Chiloense",0.755955082866315,0.768960202226976,0.75678003031485
"RUS","Arctic","Arctic","Chukchi Sea",1.17164743088932,1.20373223603573,1.20373223603573
"USA","Arctic","Arctic","Chukchi Sea",1.15866629725847,1.02462723530826,1.02462723530826
"FRA","Tropical Eastern Pacific","Tropical East Pacific","Clipperton",0.639137199815465,0.639137199815465,0.639137199815465
"CCK","Central Indo-Pacific","Java Transitional","Cocos-Keeling/Christmas Island",1.1116295732203,1.1116295732203,1.1144079672036
"CXR","Central Indo-Pacific","Java Transitional","Cocos-Keeling/Christmas Island",1.14137198368559,1.14176798158626,1.14176798158626
"IDN","Central Indo-Pacific","Java Transitional","Cocos-Keeling/Christmas Island",0.989707642055039,1.02879806796068,1.16371746005976
"COL","Tropical Eastern Pacific","Tropical East Pacific","Cocos Islands",0.283169242570985,0.580455971125663,0.580455971125663
"CRI","Tropical Eastern Pacific","Tropical East Pacific","Cocos Islands",0.27427190607812,0.431052243630599,0.42823046906578
"ECU","Tropical Eastern Pacific","Tropical East Pacific","Cocos Islands",0.289571359753609,0.520150886139886,0.323124818310865
"PAN","Tropical Eastern Pacific","Tropical East Pacific","Cocos Islands",0.250834584236145,0.802491187342026,0.802491187342026
"AUS","Central Indo-Pacific","Tropical Southwestern Pacific","Coral Sea",0.882898443197038,1.01351492606386,0.955895277764987
"NCL","Central Indo-Pacific","Tropical Southwestern Pacific","Coral Sea",0.79145903846151,0.842200165544333,0.842550603653917
"MEX","Temperate Northern Pacific","Warm Temperate Northeast Pacific","Cortezian",0.947924292717043,0.834079651908126,0.834079651908126
"ATF","Southern Ocean","Subantarctic Islands","Crozet Islands",1.00861714276962,1.24909935114744,1.24909935114744
"ATF","Western Indo-Pacific","Western Indian Ocean","Delagoa",0.710701148043651,0.846670741448781,0.846670741448781
"MOZ","Western Indo-Pacific","Western Indian Ocean","Delagoa",0.741110463268695,0.874686571021343,0.874686571021343
