iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
MEX,Tropical Eastern Pacific,868545.9450499271,4009620.958129883,992591.1128286098,805940.464109858,2254036.8376321252,920817.7110304147,21.724115051115447,NA,41.05854476203522,0.16727014387696626,2570489.9415265685,-4326074.062024326,814905.8210288109,814905.8210288109,Sellers
MEX,Temperate Northern Pacific,757321.5129590766,423909545.46728516,858766.8517701734,658869.7162743966,193812660.13395333,745323.4938835719,1943.833143268909,NA,4889.062332053298,0.960929527395453,481336970.69403833,-711433856.0273702,251240085.3607065,251240085.3607065,Sellers
LKA,Western Indo-Pacific,433561.4064756205,41573289.002075195,504195.0313159473,389633.44514492276,3822425.937913937,456079.0474156647,391.9842399700548,NA,1059.9580671751141,0.4795437453614275,46561796.987029545,-84312660.0511908,8810933.922868287,8810933.922868287,Sellers
TZA,Western Indo-Pacific,181473.78339412122,4895676.094116211,195360.01921067853,191232.86486553767,18671743.741041422,205486.82696889024,1657.8852429771616,NA,1059.9580671751141,0.4795437453614275,10344217.133847058,3431850.513078153,24120284.78077227,3431850.513078153,Buyers
GRD,Tropical Atlantic,23903.499739477706,3236729.3138427734,27062.213717887716,20796.04477334561,2213240.1345540415,23589.43085274202,291.01372565760835,NA,615.2606878511589,0.36492947873267156,1911894.879928933,-2935384.059217665,888405.7006402011,888405.7006402011,Sellers
MEX,Tropical Atlantic,428303.62211329787,15940464.396972656,520489.7704842693,533283.1443793391,120133415.04536912,634762.0102826683,1306.2218495586878,NA,615.2606878511589,0.36492947873267156,64589773.07969055,39603177.56870591,168782723.728087,39603177.56870591,Buyers
NCL,Central Indo-Pacific,995602.0265572121,6824628.611938477,1102032.0579209854,866173.7631047744,2022912.610403045,958825.6788991744,12.753963308402248,NA,1520.206397574364,0.7454221795017648,196757674.12733606,-201559390.1288715,191955958.1258006,191955958.1258006,Sellers
UMI,Eastern Indo-Pacific,1348630.8127373762,4220830.664794922,1512372.3430206196,1294700.0789705426,3768299.1937259785,1451555.9659904456,7.158934740278245,NA,9.966063630443859,0.3963044972499923,537477.1243567904,-990008.5954257338,84945.65328784706,84945.65328784706,Sellers
SLV,Tropical Eastern Pacific,58446.92449202049,215784.45458984375,69357.18919915655,65185.342458071245,1937402.8736946383,77919.67345429766,294.3493493355428,NA,41.05854476203522,0.16727014387696626,276669.63568439736,1444948.7834203972,1998288.0547891918,1444948.7834203972,Buyers
MMR,Western Indo-Pacific,181185.5477410182,11244024.46862793,231255.48690898836,321491.42542753316,483955293.8439255,423179.28656233527,5671.842790442903,NA,1059.9580671751141,0.4795437453614275,148718346.92590636,323992922.4493912,621429616.301204,323992922.4493912,Buyers
