iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
AGO,Tropical Atlantic,137382.12754940058,53459.54155731201,148369.33530023292,146912.80052872395,100971.46925865293,160435.87217293412,6.516556252349126,NA,2.5251441499521925,24066.323118845838,23445.604582495078,71578.25082018675,23445.604582495078,Buyers
URY,Temperate South America,31126.081295632463,12212.745567321777,37154.94764699152,40723.32629233819,1270345.5062104082,49671.734033500965,423.259633081218,NA,4.139293915525244,39725.817820669115,1218406.9428224172,1297858.5784637555,1218406.9428224172,Buyers
SOM,Western Indo-Pacific,483608.43952634477,101556.06646728516,535257.8700890528,281888.91297865286,23324.916878765875,309498.71801941755,0.11481800724168721,NA,5.175767795450372,1044053.4292190401,-1122284.5788075593,965822.2796305208,965822.2796305208,Sellers
COL,Tropical Atlantic,274604.3389021698,104999.5072479248,305812.1858141579,141549.23309163522,30874.499526132055,155737.8261437729,0.3085511743277856,NA,2.5251441499521925,335983.3220587413,-410108.329780534,261858.31433694853,261858.31433694853,Sellers
MUS,Western Indo-Pacific,1293361.440296576,673752.6806411743,1461908.2430577988,661937.2329668391,126564.90942037445,751704.1489827189,0.37544183617156235,NA,5.175767795450372,3268105.07756503,-3815292.84878583,2720917.30634423,2720917.30634423,Sellers
NFK,Central Indo-Pacific,265724.61686567107,117119.7718963623,298033.23050604365,101572.87079981304,7247.236521452034,115930.90010053283,0.09371395371873875,NA,7.214766619540059,1184316.5380551687,-1294189.073430079,1074444.0026802584,1074444.0026802584,Sellers
SLE,Tropical Atlantic,86786.12198683349,16500.10161590576,97871.24439407677,59256.4505205514,4247.371947017224,67313.22242671964,0.09914918776749566,NA,2.5251441499521925,69516.38885318801,-81769.11852207655,57263.65918429947,57263.65918429947,Sellers
AUS,Southern Ocean,2924.6598198135953,164.99633026123047,3624.61812550238,4953.848228819085,659.4973218569519,7484.746811224154,0.38278304100477417,NA,0.12567154788707643,255.01124831423388,239.48974328148753,749.5122399099553,239.48974328148753,Buyers
CXR,Central Indo-Pacific,189237.53968386888,68576.69808959961,210975.84089752557,120192.55134835864,17770.661719183478,135654.86726057527,0.20448579189994168,NA,7.214766619540059,498143.477089572,-548949.5134599882,447337.4407191559,447337.4407191559,Sellers
RUS,Temperate Northern Pacific,725293.0215427837,9566428.907661438,889211.9671062581,916141.4633582942,14150529.264995337,1129723.1990839439,36.472910664141935,NA,18.086693979511814,3451817.3635838046,1132282.993750094,8035917.720917704,1132282.993750094,Buyers
CCK,Central Indo-Pacific,363531.7555379065,203839.92611694336,412220.65147649276,162275.51261719633,21696.515616031345,186652.56828603995,0.17111840148937843,NA,7.214766619540059,1452016.823398385,-1634160.233899297,1269873.412897473,1269873.412897473,Sellers
AGO,Temperate Southern Africa,10628.5716705615,1122.3008575439453,11849.180829029006,24693.72509567377,3707.845141004382,29601.43881506608,0.2732254057691773,NA,0.14783525549926094,2079.3255502377774,506.21873322265947,4664.869833698214,506.21873322265947,Buyers
PRT,Temperate Northern Atlantic,1120271.6004772375,8685824.598312378,1299397.366098597,512776.61501752783,1360928.1911573773,582177.2458542233,5.801921389058547,NA,55.730258045210455,33855852.30084099,-41180748.70799599,26530955.89368599,26530955.89368599,Sellers
